City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,obock,12.25,43.0833,37.7,21,19,3.14,DJ,1693742400
1,grytviken,-54.2811,-36.5092,2.8,99,100,0.99,GS,1693515600
2,waitangi,-43.9535,-176.5597,11.95,84,19,8.39,NZ,1693558800
3,rio segundo,-31.6526,-63.9099,25.89,36,99,1.2,AR,1693591200
4,hamilton,39.1834,-84.5333,37.01,23,0,2.16,US,1693861200
5,olyokminsk,60.3736,120.4264,28.83,33,84,3.61,RU,1693461600
6,freeport,40.6576,-73.5832,28.65,51,31,2.7,US,1693850400
7,sisimiut,66.9395,-53.6735,4.97,69,6,7.08,GL,1693580400
8,carnarvon,-24.8667,113.6333,25.27,57,0,5.35,AU,1693461600
9,inari,68.906,27.0288,17.69,57,45,1.63,FI,1693656000
10,qaqortoq,60.7167,-46.0333,8.67,99,100,4.89,GL,1693861200
11,whitehorse,60.7161,-135.0538,19.51,42,75,5.33,CA,1693440000
12,aasiaat,68.7098,-52.8699,3.35,85,100,7.37,GL,1693461600
13,bilibino,68.0546,166.4372,9.65,97,100,11.13,RU,1693440000
14,haiku-pauwela,20.9219,-156.3051,30.34,58,40,8.0,US,1693440000
15,puerto natales,-51.7236,-72.4875,4.64,75,98,4.04,CL,1693591200
16,port-aux-francais,-49.35,70.2167,5.73,91,100,14.69,TF,1693677600
17,bredasdorp,-34.5322,20.0403,18.11,54,99,9.05,ZA,1693472400
18,ranchettes,41.2186,-104.7903,31.5,9,22,5.6,US,1693515600
19,praia da vitoria,38.7333,-27.0667,24.02,72,54,2.36,PT,1693504800
20,lauro de freitas,-12.8944,-38.3272,27.77,63,8,4.45,BR,1693494000
21,toliara,-23.35,43.6667,31.45,33,0,1.69,MG,1693731600
22,san ignacio de velasco,-16.3667,-60.95,40.26,20,10,6.51,BO,1693677600
23,atafu village,-8.5421,-172.5159,28.9,73,62,6.94,TK,1693440000
24,kudat,6.8837,116.8477,31.21,72,52,4.87,MY,1693461600
25,adamstown,-25.066,-130.1015,21.82,86,100,13.45,PN,1693558800
26,vadso,70.0744,29.7487,13.92,77,72,8.72,NO,1693645200
27,nar'yan-mar,67.6713,53.087,21.32,56,79,5.37,RU,1693828800
28,pisco,-13.7,-76.2167,22.07,64,94,4.63,PE,1693764000
29,tolanaro,-25.0319,46.9987,27.63,50,0,6.49,MG,1693645200
30,grand falls-windsor,48.9332,-55.6649,25.06,49,23,5.1,CA,1693764000
31,ushuaia,-54.8,-68.3,4.02,70,74,1.81,AR,1693504800
32,flying fish cove,-10.4217,105.6791,24.9,68,54,8.6,CX,1693537200
33,kapuskasing,49.4169,-82.4331,32.35,34,99,3.62,CA,1693774800
34,hermanus,-34.4187,19.2345,15.46,69,95,9.39,ZA,1693472400
35,elliot lake,46.3834,-82.6331,33.56,30,27,0.95,CA,1693850400
36,puerto aysen,-45.4,-72.7,5.14,100,100,2.67,CL,1693537200
37,saint-francois,46.4154,3.9054,35.01,22,32,3.94,FR,1693839600
38,badger,64.8,-147.5333,15.45,55,100,5.1,US,1693515600
39,khandyga,62.6667,135.6,24.32,54,76,2.86,RU,1693450800
40,midvagur,62.0511,-7.1939,12.23,88,100,10.48,FO,1693645200
41,lycksele,64.5954,18.6735,16.52,61,53,6.38,SE,1693818000
42,susuman,62.7833,148.1667,19.71,54,95,10.12,RU,1693461600
43,gambiran satu,-8.3939,114.1464,30.05,61,66,4.11,ID,1693461600
44,kingston,17.997,-76.7936,35.05,44,97,4.97,JM,1693504800
45,polyarnyy,69.1989,33.4478,18.27,65,90,5.87,RU,1693742400
46,guasdualito,7.2424,-70.7324,33.87,53,18,1.33,VE,1693677600
47,kovur,14.4833,79.9833,36.68,37,100,2.79,IN,1693634400
48,arvika,59.6553,12.5852,23.26,57,6,6.5,SE,1693828800
49,tamanrasset,22.785,5.5228,36.06,15,73,3.16,DZ,1693494000
50,inhambane,-23.865,35.3833,27.01,52,0,4.66,MZ,1693558800
51,san patricio,28.017,-97.5169,38.22,28,0,5.2,US,1693688400
52,margaret river,-33.95,115.0667,20.65,60,0,4.51,AU,1693461600
53,ananindeua,-1.3656,-48.3722,34.25,42,0,2.06,BR,1693839600
54,shasta lake,40.6804,-122.3708,33.49,18,0,2.42,US,1693450800
55,plettenberg bay,-34.0527,23.3716,18.99,71,97,5.11,ZA,1693472400
56,avarua,-21.2078,-159.775,23.03,53,75,6.58,CK,1693440000
57,mugia,43.1041,-9.2179,22.67,72,77,7.93,ES,1693742400
58,christchurch,-43.5333,172.6333,14.51,50,10,0.14,NZ,1693537200
59,qianzhou,28.3167,109.7167,31.69,44,1,2.37,CN,1693807200
60,lhasa,29.65,91.1,22.95,21,7,0.56,CN,1693645200
61,enewetak,11.3474,162.3373,28.99,78,46,5.46,MH,1693537200
62,prado,-17.3411,-39.2208,27.71,70,62,2.92,BR,1693494000
63,uray,60.1247,64.7758,18.91,54,14,4.35,RU,1693558800
64,bethel,41.3712,-73.414,32.67,37,22,1.82,US,1693850400
65,la passe,45.5549,-0.8967,34.64,25,33,5.08,FR,1693839600
66,labrador city,52.9463,-66.9114,22.5,60,98,6.61,CA,1693839600
67,luau,-10.7073,22.2247,38.03,9,3,1.94,AO,1693656000
68,kerikeri,-35.2268,173.9474,17.34,70,49,3.01,NZ,1693785600
69,antalaha,-14.9003,50.2788,26.16,63,19,5.17,MG,1693731600
70,vilyuchinsk,52.9306,158.4028,19.24,61,60,5.04,RU,1693461600
71,arraial do cabo,-22.9661,-42.0278,24.3,72,21,9.52,BR,1693850400
72,port alfred,-33.5906,26.891,29.53,31,15,4.57,ZA,1693472400
73,callao,-12.0667,-77.15,20.16,73,100,7.25,PE,1693440000
74,udachny,66.4167,112.4,12.93,38,49,5.71,RU,1693645200
75,namibe,-15.1961,12.1522,22.37,71,8,4.17,AO,1693472400
76,alofi,-19.0595,-169.9187,25.14,61,82,8.65,NU,1693450800
77,vila velha,-20.3297,-40.2925,27.2,59,79,6.7,BR,1693839600
78,namdrik,5.5994,168.1028,29.21,73,88,4.8,MH,1693450800
79,minas de marcona,-15.2119,-75.1103,20.72,52,84,4.1,PE,1693764000
80,brady,31.1352,-99.3351,40.16,14,11,3.06,US,1693774800
81,georgetown,5.4112,100.3354,28.91,72,73,3.03,MY,1693720800
82,khovd,48.0056,91.6419,28.17,13,19,6.29,MN,1693645200
83,longyearbyen,78.2186,15.6401,7.58,56,100,2.48,SJ,1693753200
84,meadow lake,34.8014,-106.5436,32.67,15,17,6.41,US,1693602000
85,iqaluit,63.7506,-68.5145,3.91,86,75,4.71,CA,1693440000
86,klaksvik,62.2266,-6.589,12.51,87,100,9.38,FO,1693677600
87,tazovsky,67.4667,78.7,12.66,40,100,3.45,RU,1693558800
88,al ghayzah,16.2079,52.176,31.56,60,0,4.37,YE,1693645200
89,port lincoln,-34.7333,135.8667,22.33,42,78,7.57,AU,1693720800
90,puerto baquerizo moreno,-0.9,-89.6,26.55,74,40,5.82,EC,1693440000
91,merizo village,13.2658,144.6691,29.0,74,92,4.29,GU,1693710000
92,yangambi,0.8102,24.4336,36.55,33,64,1.15,CD,1693656000
93,tiksi,71.6872,128.8694,6.77,58,100,3.59,RU,1693645200
94,talnakh,69.4865,88.3972,15.55,46,56,1.41,RU,1693472400
95,lebork,54.5392,17.7501,22.43,57,5,6.63,PL,1693828800
96,east london,-33.0153,27.9116,31.47,21,0,3.16,ZA,1693472400
97,lompoc,34.6391,-120.4579,27.92,49,0,3.06,US,1693440000
98,lihue,21.9789,-159.3672,28.64,73,40,5.87,US,1693440000
99,boende,-0.2167,20.8667,37.36,32,59,1.07,CD,1693569600
100,rio grande,-32.035,-52.0986,19.55,89,100,2.7,BR,1693677600
101,hilo,19.7297,-155.09,26.87,63,72,4.57,US,1693872000
102,nguigmi,14.2495,13.1092,34.49,41,74,3.65,NE,1693742400
103,hasaki,35.7333,140.8333,30.22,76,100,5.27,JP,1693440000
104,gadzhiyevo,69.2551,33.3362,18.22,66,90,5.98,RU,1693742400
105,coquimbo,-29.9533,-71.3436,19.27,58,90,5.63,CL,1693850400
106,olonkinbyen,70.9221,-8.7187,7.31,85,100,13.62,SJ,1693656000
107,dili,-8.5586,125.5736,27.96,59,26,5.06,TL,1693634400
108,albany,42.6001,-73.9662,31.86,41,32,0.91,US,1693850400
109,mansa,29.9833,75.3833,40.88,22,1,4.37,IN,1693558800
110,lebu,-37.6167,-73.65,12.11,59,32,3.82,CL,1693850400
111,aberdeen,57.1437,-2.0981,21.32,68,66,6.7,GB,1693753200
112,yellowknife,62.456,-114.3525,22.0,55,99,2.59,CA,1693515600
113,manokwari,-0.8667,134.0833,28.62,72,62,4.12,ID,1693710000
114,thompson,55.7435,-97.8558,30.43,28,7,6.23,CA,1693688400
115,cananeia,-25.0147,-47.9267,31.86,52,73,2.13,BR,1693850400
116,cockburn town,21.4612,-71.1419,29.39,69,8,1.12,TC,1693861200
117,clarkston heights-vineland,46.3874,-117.083,29.77,28,38,3.14,US,1693688400
118,isangel,-19.55,169.2667,25.14,83,80,4.95,VU,1693526400
119,katsuura,35.1333,140.3,28.83,68,22,2.79,JP,1693623600
120,kudahuvadhoo,2.6708,72.8944,28.29,73,78,4.81,MV,1693828800
121,hithadhoo,-0.6,73.0833,28.08,73,88,4.73,MV,1693807200
122,vorgashor,67.5833,63.95,17.99,45,23,0.87,RU,1693569600
123,tsiombe,-25.3,45.4833,34.19,23,6,0.82,MG,1693818000
124,baikonur,45.6167,63.3167,25.97,26,58,7.73,KZ,1693645200
125,college,64.8569,-147.8028,15.57,57,100,5.51,US,1693515600
126,edinburgh of the seven seas,-37.0676,-12.3116,13.87,87,76,9.76,SH,1693839600
127,tshela,-4.9833,12.9333,32.58,39,4,2.42,CD,1693580400
128,rabigh,22.7986,39.0349,36.81,37,0,7.23,SA,1693472400
129,kupang,-10.1667,123.5833,29.68,48,52,2.18,ID,1693450800
130,nizhniy odes,63.6445,54.856,20.98,43,15,1.99,RU,1693656000
131,guigang,23.0964,109.6092,31.64,58,45,5.27,CN,1693548000
132,kerema,-7.9631,145.7785,27.21,76,94,2.63,PG,1693872000
133,west island,-12.1568,96.8225,25.44,69,99,9.79,CC,1693634400
134,ribeira grande,38.5167,-28.7,24.05,71,32,0.28,PT,1693504800
135,bargaal,11.2864,51.0773,35.54,40,0,2.93,SO,1693818000
136,ome,35.7839,139.2431,34.22,50,81,3.58,JP,1693450800
137,st. john's,47.5649,-52.7093,21.03,59,15,3.67,CA,1693764000
138,bathurst,-33.4166,149.5806,19.47,46,34,6.19,AU,1693872000
139,nuuk,64.1835,-51.7216,6.86,93,100,7.41,GL,1693828800
140,andkhoy,36.9529,65.1238,34.37,9,0,5.41,AF,1693742400
141,leh,34.1667,77.5833,24.19,14,0,2.85,IN,1693558800
142,constantia,44.1833,28.65,28.55,43,1,3.18,RO,1693569600
143,noosa heads,-26.3833,153.15,22.94,57,27,4.56,AU,1693450800
144,gamba,-2.65,10.0,25.6,69,22,3.06,GA,1693645200
145,severo-yeniseyskiy,60.3725,93.0408,19.87,47,4,2.21,RU,1693472400
146,williams lake,52.1415,-122.1445,27.62,27,98,1.09,CA,1693699200
147,invercargill,-46.4,168.35,15.57,53,38,4.07,NZ,1693440000
148,qamdo,31.1667,97.2333,17.4,30,95,0.86,CN,1693818000
149,briancon,44.9,6.65,26.83,34,99,0.19,FR,1693839600
150,mejit,10.2753,170.8646,28.8,72,46,6.72,MH,1693450800
151,val-des-monts,45.6501,-75.666,30.73,47,73,2.08,CA,1693861200
152,nova vicosa,-17.8919,-39.3719,27.1,65,63,5.86,BR,1693839600
153,cabo san lucas,22.8909,-109.9124,31.77,71,10,2.66,MX,1693440000
154,basco,20.4487,121.9702,28.7,85,100,12.0,PH,1693796400
155,new norfolk,-42.7826,147.0587,19.22,44,79,5.0,AU,1693796400
156,petropavlovsk-kamchatsky,53.0452,158.6483,18.36,63,49,5.92,RU,1693461600
157,ilulissat,69.2167,-51.1,5.01,93,75,3.21,GL,1693440000
158,tazacorte,28.629,-17.9293,24.22,73,97,3.49,ES,1693580400
159,bubaque,11.2833,-15.8333,27.62,75,75,5.04,GW,1693504800
160,trairi,-3.2778,-39.2689,31.5,50,3,8.02,BR,1693753200
161,port elizabeth,-33.918,25.5701,25.0,46,59,4.26,ZA,1693472400
162,sarankhola,22.3082,89.7897,34.59,56,76,1.66,BD,1693645200
163,yeppoon,-23.1333,150.7333,26.36,50,0,3.53,AU,1693537200
164,keflavik,64.0049,-22.5624,12.55,92,100,22.58,IS,1693602000
165,dwarka,22.2394,68.9678,28.59,62,71,5.02,IN,1693645200
166,blackmans bay,-43.0167,147.3167,17.53,47,98,5.85,AU,1693796400
167,chonchi,-42.6128,-73.8092,9.79,96,100,3.78,CL,1693515600
168,naze,28.3667,129.4833,27.31,78,69,7.22,JP,1693623600
169,holualoa,19.6228,-155.9522,26.97,74,20,3.22,US,1693440000
